step,epoch,loss,grad_norm,learning_rate
322,0.991,0.0853,1.3558378219604492,1.9118589743589747e-05
323,0.994,0.0864,3.01777720451355,1.9113247863247865e-05
324,0.997,0.0006,0.04806974530220032,1.9107905982905984e-05
325,1.0,0.0006,0.049284301698207855,1.9102564102564106e-05
326,1.003,0.3879,4.333683490753174,1.9097222222222225e-05
327,1.006,0.0008,0.06369095295667648,1.9091880341880344e-05
328,1.009,0.0007,0.050716571509838104,1.9086538461538463e-05
329,1.012,0.2027,2.471140146255493,1.9081196581196585e-05
330,1.015,0.1456,2.3661885261535645,1.9075854700854704e-05
331,1.018,0.0016,0.12172312289476395,1.9070512820512823e-05
332,1.022,0.002,0.14968028664588928,1.906517094017094e-05
333,1.025,0.0024,0.18424789607524872,1.905982905982906e-05
334,1.028,0.0665,1.058903694152832,1.905448717948718e-05
335,1.031,0.1353,3.877831220626831,1.90491452991453e-05
336,1.034,0.0019,0.14664128422737122,1.904380341880342e-05
337,1.037,0.0019,0.14159280061721802,1.903846153846154e-05
338,1.04,0.0016,0.1213400587439537,1.9033119658119658e-05
339,1.043,0.1299,2.0027236938476562,1.902777777777778e-05
340,1.046,0.0014,0.10809873044490814,1.90224358974359e-05
341,1.049,0.1377,1.5058300495147705,1.9017094017094017e-05
342,1.052,0.0014,0.10706798732280731,1.9011752136752136e-05
343,1.055,0.001,0.0789903998374939,1.900641025641026e-05
344,1.058,0.1246,2.034222364425659,1.9001068376068377e-05
345,1.062,0.0803,0.9148831963539124,1.8995726495726496e-05
346,1.065,0.137,1.7898660898208618,1.8990384615384615e-05
347,1.068,0.085,0.9087281823158264,1.8985042735042737e-05
348,1.071,0.0028,0.21463334560394287,1.8979700854700856e-05
349,1.074,0.1059,3.0760321617126465,1.8974358974358975e-05
350,1.077,0.0036,0.28013673424720764,1.8969017094017093e-05
351,1.08,0.3998,11.565532684326172,1.8963675213675216e-05
352,1.083,0.0056,0.43069690465927124,1.8958333333333334e-05
353,1.086,0.0044,0.3427988886833191,1.8952991452991453e-05
354,1.089,0.0996,1.5486791133880615,1.8947649572649572e-05
355,1.092,0.6353,12.841631889343262,1.8942307692307694e-05
356,1.095,0.3479,4.716731548309326,1.8936965811965813e-05
357,1.098,0.0911,1.6556379795074463,1.8931623931623932e-05
358,1.102,0.2889,3.832566022872925,1.892628205128205e-05
359,1.105,0.1161,1.414456844329834,1.8920940170940173e-05
360,1.108,0.0038,0.29579970240592957,1.8915598290598292e-05
361,1.111,0.1162,2.978508949279785,1.891025641025641e-05
362,1.114,0.4863,9.17917251586914,1.890491452991453e-05
363,1.117,0.1559,2.3657963275909424,1.889957264957265e-05
364,1.12,0.0119,0.9559164643287659,1.889423076923077e-05
365,1.123,0.148,2.0812864303588867,1.888888888888889e-05
366,1.126,0.0015,0.119367815554142,1.888354700854701e-05
367,1.129,0.0018,0.14074945449829102,1.887820512820513e-05
368,1.132,0.3725,7.385406494140625,1.887286324786325e-05
369,1.135,0.0014,0.11184044927358627,1.8867521367521368e-05
370,1.138,0.001,0.07922975718975067,1.886217948717949e-05
371,1.142,0.1599,2.0968704223632812,1.885683760683761e-05
372,1.145,0.1718,1.9638607501983643,1.8851495726495728e-05
373,1.148,0.119,2.951690196990967,1.8846153846153846e-05
374,1.151,0.1656,1.7376105785369873,1.884081196581197e-05
375,1.154,0.003,0.2325766384601593,1.8835470085470087e-05
376,1.157,0.3411,6.539427757263184,1.8830128205128206e-05
377,1.16,0.0081,0.6305553317070007,1.8824786324786325e-05
378,1.163,0.0106,0.8184146285057068,1.8819444444444447e-05
379,1.166,0.1168,1.8302098512649536,1.8814102564102566e-05
380,1.169,0.0037,0.28751224279403687,1.8808760683760685e-05
381,1.172,0.0023,0.1801658421754837,1.8803418803418804e-05
382,1.175,0.0014,0.10777986794710159,1.8798076923076926e-05
383,1.178,0.1655,1.6968014240264893,1.8792735042735045e-05
384,1.182,0.0006,0.0451119989156723,1.8787393162393163e-05
385,1.185,0.2111,2.1667017936706543,1.8782051282051282e-05
386,1.188,0.0003,0.020143404603004456,1.8776709401709404e-05
387,1.191,0.0002,0.01296199206262827,1.8771367521367523e-05
388,1.194,0.2657,5.125317096710205,1.8766025641025642e-05
389,1.197,0.0001,0.011440636590123177,1.876068376068376e-05
390,1.2,0.0001,0.010288620367646217,1.8755341880341883e-05
391,1.203,0.111,2.3741164207458496,1.8750000000000002e-05
392,1.206,0.1769,2.113279342651367,1.874465811965812e-05
393,1.209,0.1935,1.6751198768615723,1.873931623931624e-05
394,1.212,0.1027,5.340526103973389,1.873397435897436e-05
