step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
770,0.991,0.2634,1.3250464920517258,2e-05,,,,,
772,0.994,0.2475,1.2106233010562557,2e-05,,,,,
774,0.996,0.2911,1.8243150345243604,2e-05,,,,,
776,0.999,0.3112,1.4364676988243996,2e-05,,,,,
777,1.0,,,,0.527724665342281,0.527724665342281,7.6533,138.502,1.437
778,1.001,0.2071,2.0984329335288052,2e-05,,,,,
780,1.004,0.3677,1.4825112453610152,2e-05,,,,,
782,1.006,0.3312,1.284986843502505,2e-05,,,,,
784,1.009,0.309,1.1821797712419861,2e-05,,,,,
786,1.012,0.298,1.139287013137469,2e-05,,,,,
788,1.014,0.2826,1.4284024872016423,2e-05,,,,,
790,1.017,0.284,1.282242813697118,2e-05,,,,,
792,1.019,0.2942,1.2296490637686923,2e-05,,,,,
794,1.022,0.2896,1.1729491521013824,2e-05,,,,,
796,1.024,0.2666,1.1415750224112307,2e-05,,,,,
798,1.027,0.2747,1.4378968348789722,2e-05,,,,,
800,1.03,0.2248,1.3171653360741364,2e-05,,,,,
802,1.032,0.2512,1.15855457540145,2e-05,,,,,
804,1.035,0.3012,1.2049724041195822,2e-05,,,,,
806,1.037,0.2368,1.6794115908221454,2e-05,,,,,
808,1.04,0.2589,1.2336660231174932,2e-05,,,,,
810,1.042,0.299,1.2357500017818788,2e-05,,,,,
812,1.045,0.2872,1.404404374276212,2e-05,,,,,
814,1.048,0.2146,1.4298566400701576,2e-05,,,,,
816,1.05,0.265,1.020678340454106,2e-05,,,,,
818,1.053,0.2878,1.2367808579515116,2e-05,,,,,
820,1.055,0.3164,1.3419818590984558,2e-05,,,,,
822,1.058,0.2593,1.1204636811818631,2e-05,,,,,
824,1.06,0.2576,1.0772510630602221,2e-05,,,,,
826,1.063,0.2389,1.1530093662981062,2e-05,,,,,
828,1.066,0.3079,1.2915707071284996,2e-05,,,,,
830,1.068,0.2371,1.1003765276396198,2e-05,,,,,
832,1.071,0.3325,1.3626059313507464,2e-05,,,,,
834,1.073,0.2426,1.4337392488214764,2e-05,,,,,
836,1.076,0.2841,1.0441858025710555,2e-05,,,,,
838,1.079,0.3052,1.4585931060042001,2e-05,,,,,
840,1.081,0.3087,1.2704193328377424,2e-05,,,,,
